variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
psses_i1,"PSS (Spanish Version), question 1","En el último mes, ¿con qué frecuencia ha estado afectado/a por algo que ha ocurrido inesperadamente?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i2,"PSS (Spanish Version), question 2","En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i3,"PSS (Spanish Version), question 3","En el último mes, ¿con qué frecuencia se ha sentido nervioso/a y estresado/a?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i4,"PSS (Spanish Version), question 4","En el último mes, ¿con qué frecuencia ha estado seguro/a sobre su capacidad para manejar sus problemas personales?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i5,"PSS (Spanish Version), question 5","En el último mes, ¿con qué frecuencia ha sentido que las cosas iban bien?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i6,"PSS (Spanish Version), question 6","En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i7,"PSS (Spanish Version), question 7","En el último mes, ¿con qué frecuencia ha podido controlar las irritaciones en su vida?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i8,"PSS (Spanish Version), question 8","En el último mes, ¿con qué frecuencia se ha sentido que tení todo bajo control?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i9,"PSS (Spanish Version), question 9","En el último mes, ¿con qué frecuencia se ha enfadado por cosas que estaban fuera de su control?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_i10,"PSS (Spanish Version), question 10","En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",NA,1,NA,direct-redcap
psses_scrdTotal,PSS (Spanish Version) total score,"sum of all psses items after items 4, 5, 7, and 8 are reversed (NA if psses_percTotal < 1)",s1_r1_e1,Real,"[0,4]",NA,NA,1,NA,code-instruments
psses_percTotal,PSS (Spanish Version) total percentage response,percentage of response for all psses items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
