variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rcads_i1,"RCADS, question 1",I feel sad or empty,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i2,"RCADS, question 2",I worry when I think I have done poorly at something,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i3,"RCADS, question 3",I would be afraid of being on my own at home,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i4,"RCADS, question 4",Nothing is much fun for me anymore,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i5,"RCADS, question 5",I worry that something awful will happen to someone in the family,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i6,"RCADS, question 6","I am afraid of being in crowded places (like shopping centers, the movies, buses, busy playgrounds)",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i7,"RCADS, question 7",I worry what other people think of me,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i8,"RCADS, question 8",I have trouble sleeping,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i9,"RCADS, question 9",I feel scared if I have to sleep on my own,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i10,"RCADS, question 10",I have problems with my appetite,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i11,"RCADS, question 11",I suddenly become dizzy or faint when there is no reason for this,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i12,"RCADS, question 12","I have to do somethings over and over again (like washing hands, cleaning, or putting things in a certain order)",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i13,"RCADS, question 13",I have no energy for things,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i14,"RCADS, question 14",I suddenly start to tremble or shake when there is no reason for this,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i15,"RCADS, question 15",I cannot think clearly,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i16,"RCADS, question 16",I feel worthless,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i17,"RCADS, question 17",I have to think of special thoughts (like numbers or words) to stop bad things from happening,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i18,"RCADS, question 18",I think about death,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i19,"RCADS, question 19",I feel like I don't want to move,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i20,"RCADS, question 20",I worry that I will suddenly get a scared feeling when there is nothing to be afraid of,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i21,"RCADS, question 21",I am tired a lot,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i22,"RCADS, question 22",I feel afraid that I will make a fool of myself in front of people,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i23,"RCADS, question 23",I have to do some things in just the right way to stop bad things from happening,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i24,"RCADS, question 24",I feel restless,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_i25,"RCADS, question 25",I worry that something bad will happen to me,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Sometimes | 2, Often | 3, Always",NA,1,NA,direct-redcap
rcads_scrdTotal,RCADS total score,sum of all rcads items (NA if rcads_percTotal < 1),s1_r1_e1,Integer,"[0,75]",NA,NA,1,NA,code-instruments
rcads_scrdAnx,RCADS anxiety subscore,"sum of rcads items 2, 3, 6, 7, 9, 11, 12, 14, 17, 18, 20, 22, 23, and 25 (NA if rcads_percAnx < 1) ",s1_r1_e1,Integer,"[0,42]",NA,NA,1,NA,code-instruments
rcads_scrdDep,RCADS depression subscore,"sum of rcads items 1, 4, 8, 10, 13, 15, 16, 19, 21, and 24 (NA if rcads_percDep < 1) ",s1_r1_e1,Integer,"[0,30]",NA,NA,1,NA,code-instruments
rcads_percTotal,RCADS percentage complete,percentage of response for all rcads items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
