variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rcadspes_i1,"RCADS (parent version, Spanish), question 1",Mi hijo/a se siente triste o vacío,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i2,"RCADS (parent version, Spanish), question 2",Mi hijo/a se preocupa cuando él/ella piensa que no hizo algo bien,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i3,"RCADS (parent version, Spanish), question 3",A mi hijo/a le da miedo tener que estar solo/a en casa,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i4,"RCADS (parent version, Spanish), question 4",Ya nada le divierte mucho a mi hijo/a,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i5,"RCADS (parent version, Spanish), question 5",A mi hijo/a le preocupa que algo terrible le vaya a pasar a alguien de la familia,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i6,"RCADS (parent version, Spanish), question 6","A mi hijo/a le da miedo estar en lugares concurridos (con mucha gente como en los centros comerciales, las películas, los autobuses, sitios de recreo llenos)",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i7,"RCADS (parent version, Spanish), question 7",A mi hijo/a le preocupa lo que los demás piensen de él/ella,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i8,"RCADS (parent version, Spanish), question 8",Mi hijo/a tiene dificultades para dormir bien,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i9,"RCADS (parent version, Spanish), question 9",A mi hijo/a le da miedo el dormir solo/a,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i10,"RCADS (parent version, Spanish), question 10",Mi hijo/a tiene problemas con su apetito,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i11,"RCADS (parent version, Spanish), question 11",Mi hijo/a se siente de repente mareado o débil aun cuando no haya razón para sentirse así,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i12,"RCADS (parent version, Spanish), question 12","Mi hijo/a tiene que hacer ciertas cosas una y otra vez (como lavarse las manos, limpiar, o poner las cosas en cierto orden)",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i13,"RCADS (parent version, Spanish), question 13",Mi hijo/a no tiene energía para hacer las cosas,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i14,"RCADS (parent version, Spanish), question 14",Mi hijo comienza a temblar o estremecerse aun cuando no hay razón alguna para sentirse así,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i15,"RCADS (parent version, Spanish), question 15",Mi hijo no puede pensar con claridad,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
rcadspes_i16,"RCADS (parent version, Spanish), question 16",Mi hijo/a se siente que no vale nada,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Algunas Veces | 2, Con Frecuencia | 3, Siempre",NA,1,NA,direct-redcap
