measure,english,existing_esla,updated_esla,revised_esla,final_esla
RPBI,"Please read the following statements and decide how much you agree regarding how you are with THIS child. Of course, parents can behave quite differently depending on mood, child behavior, and so forth, so try to answer how you usually are with this child. Again, there are no right or wrong answers, so please feel comfortable responding how you truly see yourself with this child.","Por favor lea las siguientes oraciones y decida cuanto usted esta de acuerdo acerca de cómo usted es con este hijo(a). Claro que padres actúan de maneras diferentes dependiendo de disposición, comportamiento del niño(a), e otras cosas, entonces trate de contestar como usualmente eres con este hijo(a). No hay respuestas correctas o incorrectas, así que siéntase cómodo respondiendo cómo se ve usted realmente con este niño","Por favor lea las afirmaciones a continuación y decida qué tan de acuerdo está con respecto a su forma de ser con este niño/a. Por supuesto, los padres pueden comportarse de forma diferente dependiendo de su humor, comportamiento del niño, entre otras cosas, así que intente responder como usted es usualmente con este niño/a. De nuevo, no hay respuestas correctas o incorrectas, así que por favor siéntase cómodo/a respondiendo cómo realmente se ve usted con este niño/a.",N/A,"Por favor lea las afirmaciones a continuación y decida qué tan de acuerdo está con respecto a su forma de ser con este niño/a. Por supuesto, los padres pueden comportarse de forma diferente dependiendo de su humor, comportamiento del niño, entre otras cosas, así que intente responder como usted es usualmente con este niño/a. De nuevo, no hay respuestas correctas o incorrectas, así que por favor siéntase cómodo/a respondiendo cómo realmente se ve usted con este niño/a."
RPBI,"If you think that the statement describes a person who is NOT LIKE you, select ""NOT LIKE.""
If you think that the statement describes a person who is SOMEWHAT LIKE you, select ""SOMEWHAT LIKE."" If you think that the statement describes a person who is A LOT LIKE you, select ""A LOT LIKE.""","Si usted piensa que la oración describe una persona quien NO ES COMO usted, seleccione “NO ES COMO”.
Si usted piensa que la oración describe una persona quien es UN POCO COMO usted, seleccione “UN POCO COMO”. Si usted piensa que la oración describe una persona quien es MUCHO COMO usted, seleccione “MUCHO COMO”.","Si piensa que la afirmación describe a una persona que NO ES COMO usted, seleccione “NO ES COMO”. Si piensa que la afirmación describe a una persona que es UN POCO COMO usted, seleccione “UN POCO COMO”. Si piensa que la afirmación describe a una persona que es MUCHO COMO usted, seleccione “MUCHO COMO”.",N/A,"Si piensa que la afirmación describe a una persona que NO ES COMO usted, seleccione “NO ES COMO”. Si piensa que la afirmación describe a una persona que es UN POCO COMO usted, seleccione “UN POCO COMO”. Si piensa que la afirmación describe a una persona que es MUCHO COMO usted, seleccione “MUCHO COMO”."
RPBI,"0, not like | 1, somewhat like | 2, a lot like","0, no es como | 1, un poco como | 2, mucho como","0, No es como | 1, Un poco como | 2, Mucho como",N/A,"0, No es como | 1, Un poco como | 2, Mucho como"
RPBI,I make my child feel better after talking over his/her worries with me.,Hago mi hijo(a) sentir mejor cuando hablamos de las cosas que le preocupan.,Hago a mi niño/a sentir mejor cuando hablamos de las cosas que le preocupan.,N/A,Hago a mi niño/a sentir mejor cuando hablamos de las cosas que le preocupan.
RPBI,I tell my child of all the things I have done for him/her.,Le digo a mi hijo(a) de todas las cosas buenas que yo ha hecho por el/ella.,Le digo a mi niño/a todas las cosas buenas que yo he hecho por él/ella.,Le digo a mi niño/a todas las cosas que he hecho por él / ella.,Le digo a mi niño/a todas las cosas que he hecho por él/ella.
RPBI,I believe in having a lot of rules and sticking to them.,Creo en tener muchas reglas y aplicarlas.,Creo en tener muchas reglas y mantenerlas.,N/A,Creo en tener muchas reglas y mantenerlas.
RPBI,I smile at my child very often.,Sonrío a mi hijo(a) a menudo.,Le sonrío a mi niño/a a menudo.,N/A,Le sonrío a mi niño/a a menudo.
RPBI,"If my child really cared for me, he/she would not do things that cause me to worry.","Si mi hijo(a) me realmente quisiera, el/ella no haría cosas que me causan preocupación.","Si mi niño/a me realmente quisiera, él/ella no haría cosas que me causan preocupación.",N/A,"Si mi niño/a me realmente quisiera, él/ella no haría cosas que me causan preocupación."
RPBI,I insist that my child must do exactly as he/she is told.,Insisto que mi hijo(a) haga exactamente lo que yo digo.,Insisto en que mi niño/a debe hacer exactamente lo que le dicen.,N/A,Insisto en que mi niño/a debe hacer exactamente lo que le dicen.
RPBI,I am able to make my child feel better when he/she is upset.,Hago mi hijo(a) sentir mejor cuando esta mal.,Puedo hacer que mi niño/a se sienta mejor cuando está molesto/a.,N/A,Puedo hacer que mi niño/a se sienta mejor cuando está molesto/a.
