variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rpeqp_i1,"RPEQ (parent version), question 1",A teen chased my child like he or she was really trying to hurt them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i2,"RPEQ (parent version), question 2",A teen threatened to hurt or beat up my child.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i3,"RPEQ (parent version), question 3","A teen hit, kicked, or pushed my child in a mean way.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i4,"RPEQ (parent version), question 4",Some teens left my child out of an activity or conversation that they really wanted to be included in.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i5,"RPEQ (parent version), question 5",A teen did not invite my child to a party or other social event even though they knew that my child wanted to go.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i6,"RPEQ (parent version), question 6",A teen left my child out of what they were doing.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i7,"RPEQ (parent version), question 7",A teen tried to damage my child's social reputation by spreading rumors about them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i8,"RPEQ (parent version), question 8",Another teen gossiped about my child so that others would not like them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i9,"RPEQ (parent version), question 9",Another teen said mean things about my child so that people would think that my child was a 'loser.',s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i10,"RPEQ (parent version), question 10",Another teen helped my child when they were having a problem.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i11,"RPEQ (parent version), question 11",Another teen was nice and friendly to my child when they needed help.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i12,"RPEQ (parent version), question 12",Another teen stuck up for my child when they were being picked on or excluded.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i13,"RPEQ (parent version), question 13",A teen helped my child join into a group or conversation.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_i14,"RPEQ (parent version), question 14",A teen spent time with my child when they had no one else to hang out with.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeqp_scrdOv,RPEQ (parent version) overt subscore,"average of rpeqp items 1, 2, and 3 (NA if rpeqp_percOv < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeqp_scrdRel,RPEQ (parent version) relational subscore,"average of rpeqp items 4, 5, and 6 (NA if rpeqp_percRel < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeqp_scrdRep,RPEQ (parent version) reputational subscore,"average of rpeqp items 7, 8, and 9 (NA if rpeqp_percRep < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeqp_scrdPro,RPEQ (parent version) prosocial subscore,"average of rpeqp items 10, 11, 12, 13, and 14 (NA if rpeqp_percPro < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeqp_percOv,RPEQ (parent version) overt subscore percentage response,percentage of response for rpeqp overt items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
rpeqp_percRel,RPEQ (parent version) relational subscore percentage response,percentage of response for rpeqp relational items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
rpeqp_percRep,RPEQ (parent version) reputational subscore percentage response,percentage of response for rpeqp reputational items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
rpeqp_percPro,RPEQ (parent version) prosocial subscore percentage response,percentage of response for rpeqp prosocial items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
