variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rpeq_i1,"RPEQ, question 1",A teen chased me like he or she was really trying to hurt me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i2,"RPEQ, question 2",A teen threatened to hurt or beat me up.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i3,"RPEQ, question 3","A teen hit, kicked, or pushed me in a mean way.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i4,"RPEQ, question 4",Some teens left me out of an activity or conversation that I really wanted to be included in.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i5,"RPEQ, question 5",A teen did not invite me to a party or other social event even though they knew that I wanted to go.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i6,"RPEQ, question 6",A teen left me out of what they were doing.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i7,"RPEQ, question 7",A teen tried to damage my social reputation by spreading rumors about me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i8,"RPEQ, question 8",Another teen gossiped about me so that others would not like me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i9,"RPEQ, question 9",Another teen said mean things about me so that people would think that I was a loser.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i10,"RPEQ, question 10",Another teen helped me when I was having a problem.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i11,"RPEQ, question 11",Another teen was nice and friendly to me when I needed help.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i12,"RPEQ, question 12",Another teen stuck up for me when I was being picked on or excluded.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i13,"RPEQ, question 13",A teen helped me join into a group or conversation.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_i14,"RPEQ, question 14",A teen spent time with me when I had no one else to hang out with.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once or twice | 3, a few times | 4, about once a week | 5, a few times a week",NA,1,NA,direct-redcap
rpeq_scrdOv,RPEQ overt subscore,"average of rpeq items 1, 2, and 3 (NA if rpeq_percOv < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeq_scrdRel,RPEQ relational subscore,"average of rpeq items 4, 5, and 6 (NA if rpeq_percRel < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeq_scrdRep,RPEQ reputational subscore,"average of rpeq items 7, 8, and 9 (NA if rpeq_percRep < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeq_scrdPro,RPEQ prosocial subscore,"average of rpeq items 10, 11, 12, 13, and 14 (NA if rpeq_percPro < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
rpeq_percOv,RPEQ overt subscore percentage response,percentage of response for rpeq overt items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
rpeq_percRel,RPEQ relational subscore percentage response,percentage of response for rpeq relational items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
rpeq_percRep,RPEQ reputational subscore percentage response,percentage of response for rpeq reputational items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
rpeq_percPro,RPEQ prosocial subscore percentage response,percentage of response for rpeq prosocial items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
