measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
RPEQ-P,Revised Peer Experiences Questionnaire (Parent Report),,Cuestionario Revisado de Experiencias Entre Compañeros (Reporte Para los Padres),Cuestionario Revisado de Experiencias Entre Compañeros (Reporte Para los Padres),Peer Experience Revised Questionnaire ,"BACK: Missing ""(Reporte Para los Padres)"". --from backtranslator: ""Parent Report""",Cuestionario Revisado de Experiencias Entre Compañeros (Reporte Para los Padres)
RPEQ-P,Please read the questions and answer how often this happens to your child.,Lea las preguntas y responda con qué frecuencia le sucede esto a su hijo/a.,Por favor lea las preguntas y responda con qué frecuencia le sucede esto a su hijo/a.,Por favor lea las preguntas y responda con qué frecuencia le sucede esto a su hijo/a.,Please read the questions and respond with how often it occurs to your son/daughter,,Por favor lea las preguntas y responda con qué frecuencia le sucede esto a su hijo/a.
RPEQ-P,"The questions say “a teen,” but imagine that “teen” just means someone in your child’s age group.","Las preguntas dicen ""un adolescente"", pero imagine que ""adolescente"" solo significa alguien en el grupo de edad de su hijo/a.",N/A,"Las preguntas dicen ""un adolescente"", pero imagine que ""adolescente"" solo significa alguien en el grupo de edad de su hijo/a.","The questions say ""an adolescent"", however imagine that ""adolescence"" signifies someone in the age group of your son/daughter","BACK: Would ""adolescent"" also match the Spanish for the second text in quotation marks? --confirmed, this was a typo in the back translation","Las preguntas dicen ""un adolescente"", pero imagine que ""adolescente"" solo significa alguien en el grupo de edad de su hijo/a."
RPEQ-P,never,Nunca,N/A,Nunca,Never,,Nunca
RPEQ-P,once or twice,Una o dos veces,N/A,Una o dos veces,One or two times,,Una o dos veces
RPEQ-P,a few times,Algunas veces,En ocasiones ,En ocasiones ,On occasion,,En ocasiones 
RPEQ-P,about once a week,Una vez a la semana,N/A,Una vez a la semana,Once a week,,Una vez a la semana
RPEQ-P,a few times a week,Algunas veces por semana,Pocas veces a la semana ,Pocas veces a la semana ,A few times a week,,Pocas veces a la semana 
RPEQ-P,A teen chased my child like he or she was really trying to hurt them.,Un adolescente persiguió a mi hijo/a como si realmente estuviera tratando de hacerle daño.,N/A,Un adolescente persiguió a mi hijo/a como si realmente estuviera tratando de hacerle daño.,An adolescent chased my son/daughter as if they really were trying to do harm,,Un adolescente persiguió a mi hijo/a como si realmente estuviera tratando de hacerle daño.
RPEQ-P,A teen threatened to hurt or beat up my child.,Un adolescente amenazó con lastimar o golpear a mi hijo/a.,N/A,Un adolescente amenazó con lastimar o golpear a mi hijo/a.,An adolescent threatened to hurt or hit my son/daughter,,Un adolescente amenazó con lastimar o golpear a mi hijo/a.
RPEQ-P,"A teen hit, kicked, or pushed my child in a mean way.","Una adolescente golpeó, pateó o empujó a mi hijo/a de una manera mala.","Un adolescente golpeó, pateó o empujó a mi hijo/a de una manera mala.","Un adolescente golpeó, pateó o empujó a mi hijo/a de una manera mala.","An adolescent hit, kicked, or pushed my son/daughter in a bad way","FORWARD: Does ""mala"" describe intent in the same sense as ""mean""?","Un adolescente golpeó, pateó o empujó a mi hijo/a de mala manera."
RPEQ-P,Some teens left my child out of an activity or conversation that they really wanted to be included in.,Unos adolescentes excluyeron a mi hijo/a de una actividad o conversación en la que realmente querían participar.,N/A,Unos adolescentes excluyeron a mi hijo/a de una actividad o conversación en la que realmente querían participar.,Some adolescents exclude my son/daughter from an activity or conversation they really wanted to participate in,"FORWARD: Does ""participar"" describe the sense of ""inclusion"" of the original English? --confirmed",Unos adolescentes excluyeron a mi hijo/a de una actividad o conversación en la que realmente querían participar.
RPEQ-P,A teen did not invite my child to a party or other social event even though they knew that my child wanted to go.,Un adolescente no invitó a mi hijo/a a una fiesta u otro evento social a pesar de que sabía que mi hijo/a quería ir.,N/A,Un adolescente no invitó a mi hijo/a a una fiesta u otro evento social a pesar de que sabía que mi hijo/a quería ir.,An adolescent didn't invite my son/daughter to a party or other social event even though they know my son/daughter wanted to go,"BACK: Confirm that ""know"" is in the present (as opposed to past) tense? --from backtranslator: should be ""knew""",Un adolescente no invitó a mi hijo/a a una fiesta u otro evento social a pesar de que sabía que mi hijo/a quería ir.
RPEQ-P,A teen left my child out of what they were doing.,Un adolescente excluyo a mi hijo/a de lo que estaba haciendo.,N/A,Un adolescente excluyo a mi hijo/a de lo que estaba haciendo.,An adolescent excluded my son/daughter from what they were doing,,Un adolescente excluyo a mi hijo/a de lo que estaba haciendo.
RPEQ-P,A teen tried to damage my child’s social reputation by spreading rumors about them.,Un adolescente trató de dañar la reputación social de mi hijo/a al difundir rumores sobre él.,N/A,Un adolescente trató de dañar la reputación social de mi hijo/a al difundir rumores sobre él.,An adolescent tried to damage the social reputation of my son/daughter by spreading rumor about him.,"BACK: Should ""rumor"" be ""a rumor"" or ""rumors""? --Spanish says ""rumors""
FORWARD: Should final pronoun be modified for inclusivity?",Un adolescente trató de dañar la reputación social de mi hijo/a al difundir rumores sobre él/ella.
RPEQ-P,Another teen gossiped about my child so that others would not like them.,Otro adolescente chismeaba sobre mi hijo/a para que no les gustara a los demás.,N/A,Otro adolescente chismeaba sobre mi hijo/a para que no les gustara a los demás.,Other adolescents gossiped about my son/daughter so that others wouldn't like them,"FORWARD: The English distinction in question format (""a teen"" versus ""another teen"") does not impact meaning to me, not even subtly.  Can we say ""Un otro adolescente"" to match?",Un adolescente chismeaba sobre mi hijo/a para que no les gustara a los demás.
RPEQ-P,Another teen said mean things about my child so that people would think that my child was a ‘loser.’,"Otro adolescente dijo cosas malas sobre mi hijo/a para que la gente pensara que mi hijo/a era un ""perdedor"".",N/A,"Otro adolescente dijo cosas malas sobre mi hijo/a para que la gente pensara que mi hijo/a era un ""perdedor"".","Other adolescents said bad things about my son/daughter so that people would think that my son/daughter was a ""loser""","FORWARD: The English distinction in question format (""a teen"" versus ""another teen"") does not impact meaning to me, not even subtly.  Can we say ""Un otro adolescente"" to match?
FORWARD: Does ""malas"" describe cruelty in the same sense here as ""mean""?","Un adolescente dijo cosas malas sobre mi hijo/a para que la gente pensara que mi hijo/a era un ""perdedor""."
RPEQ-P,Another teen helped my child when they were having a problem.,Otro adolescente ayudó a mi hijo/a cuando tenía un problema.,N/A,Otro adolescente ayudó a mi hijo/a cuando tenía un problema.,Other adolescents helped my son/daughter when they had a problem.,"FORWARD: The English distinction in question format (""a teen"" versus ""another teen"") does not impact meaning to me, not even subtly.  Can we say ""Un otro adolescente"" to match?",Un adolescente ayudó a mi hijo/a cuando tenía un problema.
