variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rpeqpes_i1,"RPEQ (parent version, Spanish), question 1",Un adolescente persiguió a mi hijo/a como si realmente estuviera tratando de hacerle daño.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i2,"RPEQ (parent version, Spanish), question 2",Un adolescente amenazó con lastimar o golpear a mi hijo/a.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i3,"RPEQ (parent version, Spanish), question 3","Un adolescente golpeó, pateó o empujó a mi hijo/a de mala manera.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i4,"RPEQ (parent version, Spanish), question 4",Unos adolescentes excluyeron a mi hijo/a de una actividad o conversación en la que realmente querían participar.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i5,"RPEQ (parent version, Spanish), question 5",Un adolescente no invitó a mi hijo/a a una fiesta u otro evento social a pesar de que sabía que mi hijo/a quería ir.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i6,"RPEQ (parent version, Spanish), question 6",Un adolescente excluyo a mi hijo/a de lo que estaba haciendo.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i7,"RPEQ (parent version, Spanish), question 7",Un adolescente trató de dañar la reputación social de mi hijo/a al difundir rumores sobre él/ella.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i8,"RPEQ (parent version, Spanish), question 8",Un adolescente chismeaba sobre mi hijo/a para que no les gustara a los demás.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i9,"RPEQ (parent version, Spanish), question 9","Un adolescente dijo cosas malas sobre mi hijo/a para que la gente pensara que mi hijo/a era un ""perdedor"".",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
rpeqpes_i10,"RPEQ (parent version, Spanish), question 10",Un adolescente ayudó a mi hijo/a cuando tenía un problema.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Una o dos veces | 3, En ocasiones | 4, Una vez a la semana | 5, Pocas veces a la semana",NA,1,NA,direct-redcap
