variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rsrip_i1,"RSRI (parent report), question 1","On the average, how often per year was the child absent from school due to illness?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 0-4 days | 2, 5-9 days | 3, 10-14 days | 4, 15-19 days | 5, 20 or more days",NA,1,NA,direct-redcap
rsrip_i2,"RSRI (parent report), question 2","On the average, how often per year was the child sent to the nurse's office due to illness?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 0-4 days | 2, 5-9 days | 3, 10-14 days | 4, 15-19 days | 5, 20 or more days",NA,1,NA,direct-redcap
rsrip_i3,"RSRI (parent report), question 3",Did the child have illnesses/symptoms such as headaches or stomach aches for which the doctors could not find a cause?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i4,"RSRI (parent report), question 4",How often did the child have nightmares?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once a year | 3, once a month | 4, once a week | 5, once a night",NA,1,NA,direct-redcap
rsrip_i5,"RSRI (parent report), question 5",Was the child scared of the dark?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i6,"RSRI (parent report), question 6",Was it necessary for you or the child to check under the bed or in the closet before the child went to sleep?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once a year | 3, once a month | 4, once a week | 5, once a night",NA,1,NA,direct-redcap
rsrip_i7,"RSRI (parent report), question 7","Did the child need to have a special stuffed animal, blanket, or toy with them so that they could fall asleep?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i8,"RSRI (parent report), question 8","Was the child afraid of dogs, cats, or other domestic animals?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i9,"RSRI (parent report), question 9","Was the child afraid of unfamiliar animals, such as those they encountered on the street or at someone else's home?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i10,"RSRI (parent report), question 10",Was the child scared that they would be kidnapped or otherwise separated from their parents/guardians?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i11,"RSRI (parent report), question 11","Did it upset the child when they were left with a new, unfamiliar baby-sitter?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i12,"RSRI (parent report), question 12","When you went out without the child, were they scared that you might not come back?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i13,"RSRI (parent report), question 13",Did the child sleep over at friends' houses?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, very often | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsrip_i14,"RSRI (parent report), question 14",Did the child try new foods?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, eagerly | 2, agreeably | 3, with coaxing | 4, only if pressured | 5, never",NA,1,NA,direct-redcap
rsrip_i15,"RSRI (parent report), question 15",Was the child usually scared on the first day of school of a new school year?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified",NA,1,NA,direct-redcap
rsrip_i16,"RSRI (parent report), question 16",Did the child ever pretend to be sick in order to avoid going to school or to other social events?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i17,"RSRI (parent report), question 17",Did it upset the child to be called up to the blackboard?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified",NA,1,NA,direct-redcap
rsrip_i18,"RSRI (parent report), question 18","Did it upset the child to be called on, even if they knew the answer?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified",NA,1,NA,direct-redcap
rsrip_i19,"RSRI (parent report), question 19",Did the child’s teachers have trouble hearing them when they spoke or answered a question in class?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i20,"RSRI (parent report), question 20","If there was something that the child did not understand in class, did they ask the teacher for help?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsrip_i21,"RSRI (parent report), question 21","During recess, did the child play with the main group of children?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsrip_i22,"RSRI (parent report), question 22",Did the child enjoy participating in party games?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsrip_i23,"RSRI (parent report), question 23",Did the child enjoy meeting new children their age?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsrip_i24,"RSRI (parent report), question 24","Did the child’s voice squeak, crack, or sound shaky when they were talking in front of a group of people?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i25,"RSRI (parent report), question 25",How popular did the child feel?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, very | 2, moderately | 3, average | 4, below average | 5, not at all",NA,1,NA,direct-redcap
rsrip_i26,"RSRI (parent report), question 26","Did the child have any problems with, or have to see a doctor for allergies, sleeplessness, or constipation?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i27,"RSRI (parent report), question 27",Did the child need a night-light or hall light on in order to go to sleep?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsrip_i28,"RSRI (parent report), question 28",Did the child willingly participate in group singing or plays?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsrip_i29,"RSRI (parent report), question 29",Were the child’s feelings easily hurt?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
