variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rsri_i1,"RSRI, question 1","On the average, how often per year were you absent from school due to illness?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 0-4 days | 2, 5-9 days | 3, 10-14 days | 4, 15-19 days | 5, 20 or more days",NA,1,NA,direct-redcap
rsri_i2,"RSRI, question 2","On the average, how often per year were you sent to the nurse's office due to illness?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 0-4 days | 2, 5-9 days | 3, 10-14 days | 4, 15-19 days | 5, 20 or more days",NA,1,NA,direct-redcap
rsri_i3,"RSRI, question 3",Did you have illnesses/symptoms such as headaches or stomach aches for which the doctors could not find a cause?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i4,"RSRI, question 4",How often did you have nightmares?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once a year | 3, once a month | 4, once a week | 5, once a night",NA,1,NA,direct-redcap
rsri_i5,"RSRI, question 5",Were you scared of the dark?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i6,"RSRI, question 6",Was it necessary for you or your parents to check under your bed or in your closet before you went to sleep?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, once a year | 3, once a month | 4, once a week | 5, once a night",NA,1,NA,direct-redcap
rsri_i7,"RSRI, question 7","Did you need to have a special stuffed animal, blanket, or toy with you so that you could fall asleep?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i8,"RSRI, question 8","Were you afraid of dogs, cats, or other domestic animals?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i9,"RSRI, question 9","Were you afraid of unfamiliar animals, such as those you encountered on the street or at someone else's home?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i10,"RSRI, question 10",Were you scared that you would be kidnapped or otherwise separated from your parents? ,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i11,"RSRI, question 11","Did it upset you when your parents left you with a new, unfamiliar baby-sitter? ",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i12,"RSRI, question 12","When your parents went out without you, were you scared that they might not come back?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i13,"RSRI, question 13",Did you sleep over at friends' houses?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, very often | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsri_i14,"RSRI, question 14",Did you try new foods? ,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, eagerly | 2, agreeably | 3, with coaxing | 4, only if pressured | 5, never",NA,1,NA,direct-redcap
rsri_i15,"RSRI, question 15",Were you usually scared on the first day of school of a new school year?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified",NA,1,NA,direct-redcap
rsri_i16,"RSRI, question 16",Did you ever pretend to be sick in order to avoid going to school or to other social events? ,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i17,"RSRI, question 17",Did it upset you to be called up to the blackboard? ,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified",NA,1,NA,direct-redcap
rsri_i18,"RSRI, question 18","Did it upset you to be called on, even if you knew the answer?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified",NA,1,NA,direct-redcap
rsri_i19,"RSRI, question 19",Did your teachers have trouble hearing you when you spoke or answered a question in class?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
rsri_i20,"RSRI, question 20","If there was something that you did not understand in class, did you ask the teacher for help?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsri_i21,"RSRI, question 21","During recess, did you play with the main group of children?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsri_i22,"RSRI, question 22",Did you enjoy participating in party games?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsri_i23,"RSRI, question 23",Did you enjoy meeting new children your age?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, always | 2, often | 3, sometimes | 4, rarely | 5, never",NA,1,NA,direct-redcap
rsri_i24,"RSRI, question 24","Did your voice squeak, crack, or sound shaky when you were talking in front of a group of people?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, never | 2, rarely | 3, sometimes | 4, often | 5, very often",NA,1,NA,direct-redcap
