measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
RSRI-P,Retrospective Self-Report of Inhibition (Parent Report),Auto-reporte Retrospectico de Inhibición (Reporte Parental),N/A,Auto-reporte Retrospectico de Inhibición (Reporte Parental),Retrospective Self-Report of Inhibition (Parental Report),NA,Auto-reporte Retrospectico de Inhibición (Reporte Parental)
RSRI-P,"The following questions are about things the child may have done and feelings they may have had. In answering these questions, please think of the child when they were in elementary school (Grades 1-5). If you cannot remember, or are not sure about an answer, please make your best guess.","Las siguientes preguntas son acerca de cosas que el niño/a quizás haya hecho o sentimientos que quizás haya tenido. Al responder estas preguntas, por favor piense en el niño/a cuando estaba en la escuela primaria (primer a quinto grado). Si no puede recordar, o no está seguro/a sobre una respuesta, por favor haga su mejor intento. ",N/A,"Las siguientes preguntas son acerca de cosas que el niño/a quizás haya hecho o sentimientos que quizás haya tenido. Al responder estas preguntas, por favor piense en el niño/a cuando estaba en la escuela primaria (primer a quinto grado). Si no puede recordar, o no está seguro/a sobre una respuesta, por favor haga su mejor intento. ","The following questions are about things that the child may have done or feelings that they may have had. When answering these questions, please think of the child when they were in elementary school (grades one through five). If you can't remember, or aren't sure about an answer, please try your best.",NA,"Las siguientes preguntas son acerca de cosas que el niño/a quizás haya hecho o sentimientos que quizás haya tenido. Al responder estas preguntas, por favor piense en el niño/a cuando estaba en la escuela primaria (primer a quinto grado). Si no puede recordar, o no está seguro/a sobre una respuesta, por favor haga su mejor intento. "
RSRI-P,"On the average, how often per year was the child absent from school due to illness?","En promedio, cuántas veces al año faltó el niño/a a la escuela por estar enfermo/a?",N/A,"En promedio, cuántas veces al año faltó el niño/a a la escuela por estar enfermo/a?","On average, how many times a year did the child miss school due to being sick?",NA,"En promedio, cuántas veces al año faltó el niño/a a la escuela por estar enfermo/a?"
RSRI-P,"On the average, how often per year was the child sent to the nurse's office due to illness?","En promedio, cuántas veces fue enviado el niño/a a la enfermería por estar enfermo/a?",N/A,"En promedio, cuántas veces fue enviado el niño/a a la enfermería por estar enfermo/a?","On average, how many times was the child sent to the infirmary for being sick?","Missing ""a year""?","En promedio, cuántas veces al año fue enviado el niño/a a la enfermería por estar enfermo/a?"
RSRI-P,Did the child have illnesses/symptoms such as headaches or stomach aches for which the doctors could not find a cause?,El niño/a sufría de enfermedades/síntomas como dolores de cabeza o estómago sin que los doctores pudieran hallar una causa?,N/A,El niño/a sufría de enfermedades/síntomas como dolores de cabeza o estómago sin que los doctores pudieran hallar una causa?,Did the child suffer from illnesses/symptoms such as headaches or stomach aches without the doctors being able to find a cause?,NA,El niño/a sufría de enfermedades/síntomas como dolores de cabeza o estómago sin que los doctores pudieran hallar una causa?
RSRI-P,How often did the child have nightmares?,Qué tan seguido tenía pesadillas el niño/a?,N/A,Qué tan seguido tenía pesadillas el niño/a?,How often did the child have nightmares?,NA,Qué tan seguido tenía pesadillas el niño/a?
RSRI-P,Was the child scared of the dark?,El niño/a tenía miedo de la oscuridad?,N/A,El niño/a tenía miedo de la oscuridad?,Was the child afraid of the dark?,NA,El niño/a tenía miedo de la oscuridad?
RSRI-P,Was it necessary for you or the child to check under the bed or in the closet before the child went to sleep?,Era necesario que usted o el niño/a revisara bajo la cama o en el clóset antes de irse a dormir?,N/A,Era necesario que usted o el niño/a revisara bajo la cama o en el clóset antes de irse a dormir?,Was it necessary for you or the child to check under the bed or in the closet before going to sleep?,Check ambiguity: original is unambiguous that it is before the child goes to sleep.,Era necesario que usted o el niño/a revisara bajo la cama o en el clóset antes de que el niño se durmiera?
RSRI-P,"Did the child need to have a special stuffed animal, blanket, or toy with them so that they could fall asleep?","El niño/a necesitaba tener un peluche, cobija, o juguete especial con él/ella para poder dormir?",N/A,"El niño/a necesitaba tener un peluche, cobija, o juguete especial con él/ella para poder dormir?","Did the child need to have a stuffed toy, blanket, or special toy with him/her in order to sleep?","Missing idea of ""special.""
Original indicates ""falling asleep"" rather than ""sleeping"" more generally.","El niño/a necesitaba tener un peluche, cobija, o juguete especial con él/ella para poder quedarse dormido/a?"
RSRI-P,"Was the child afraid of dogs, cats, or other domestic animals?","El niño/a tenía le tenía miedo a los perros, gatos, u otro animal doméstico?",N/A,"El niño/a tenía le tenía miedo a los perros, gatos, u otro animal doméstico?","Was the child afraid of dogs, cats, or other pets?",NA,"El niño/a tenía le tenía miedo a los perros, gatos, u otro animal doméstico?"
RSRI-P,"Was the child afraid of unfamiliar animals, such as those they encountered on the street or at someone else's home?","El niño/a le tenía miedo a animales desonoocidos, incluyendo animales de la calle o en casa de otras personas?",N/A,"El niño/a le tenía miedo a animales desonoocidos, incluyendo animales de la calle o en casa de otras personas?","Was the child afraid of unfamiliar animals, including animals on the street or in other people's homes?",NA,"El niño/a le tenía miedo a animales desonoocidos, incluyendo animales de la calle o en casa de otras personas?"
