variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
rsripes_i1,"RSRI (parent report, Spanish), question 1","En promedio, cuántas veces al año faltó el niño/a a la escuela por estar enfermo/a?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 0-4 días | 2, 5-9 días | 3, 10-14 días | 4, 15-19 días | 5, 20 o más días",NA,1,NA,direct-redcap
rsripes_i2,"RSRI (parent report, Spanish), question 2","En promedio, cuántas veces al año fue enviado el niño/a a la enfermería por estar enfermo/a?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 0-4 días | 2, 5-9 días | 3, 10-14 días | 4, 15-19 días | 5, 20 o más días",NA,1,NA,direct-redcap
rsripes_i3,"RSRI (parent report, Spanish), question 3",El niño/a sufría de enfermedades/síntomas como dolores de cabeza o estómago sin que los doctores pudieran hallar una causa?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i4,"RSRI (parent report, Spanish), question 4",Qué tan seguido tenía pesadillas el niño/a?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, una vez al año | 3, una vez al mes | 4, una vez a la semana | 5, una vez por noche",NA,1,NA,direct-redcap
rsripes_i5,"RSRI (parent report, Spanish), question 5",El niño/a tenía miedo de la oscuridad?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i6,"RSRI (parent report, Spanish), question 6",Era necesario que usted o el niño/a revisara bajo la cama o en el clóset antes de que el niño se durmiera?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, una vez al año | 3, una vez al mes | 4, una vez a la semana | 5, una vez por noche",NA,1,NA,direct-redcap
rsripes_i7,"RSRI (parent report, Spanish), question 7","El niño/a necesitaba tener un peluche, cobija, o juguete especial con él/ella para poder quedarse dormido/a?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i8,"RSRI (parent report, Spanish), question 8","El niño/a tenía le tenía miedo a los perros, gatos, u otro animal doméstico?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i9,"RSRI (parent report, Spanish), question 9","El niño/a le tenía miedo a animales desonoocidos, incluyendo animales de la calle o en casa de otras personas?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i10,"RSRI (parent report, Spanish), question 10",El niño/a tenía miedo de ser secuestrado o separado de otra manera de sus padres/guardianes?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i11,"RSRI (parent report, Spanish), question 11",El niño/a se molestaba cuando se le dejaba con un nuevo/a niñero/a desconocido?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i12,"RSRI (parent report, Spanish), question 12","Cuando usted salía sin el niño/a, él/ella temía que usted quizás no regresara?",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",NA,1,NA,direct-redcap
rsripes_i13,"RSRI (parent report, Spanish), question 13",El niño/a se quedaba a dormir en casa de sus amigos?,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, muy frecuentemente | 2, frecuentemente | 3, a veces | 4, raramente | 5, nunca",NA,1,NA,direct-redcap
