variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
panasrtq_describe,"PANAS-N, preliminary question",Recall the last time you felt especially distressed or upset. Briefly describe this situation in terms of what happened and what you did.,s1_r1_e1,Char,text,NA,NA,1,NA,direct-redcap
panasrtq_i1,"PANAS-N, question 1",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Distressed,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i2,"PANAS-N, question 2",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Upset,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i3,"PANAS-N, question 3",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Guilty,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i4,"PANAS-N, question 4",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Scared,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i5,"PANAS-N, question 5",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Hostile,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i6,"PANAS-N, question 6",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Irritable,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i7,"PANAS-N, question 7",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Ashamed,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i8,"PANAS-N, question 8",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Nervous,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i9,"PANAS-N, question 9",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Jittery,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i10,"PANAS-N, question 10",Think about how you felt at the time of the situation. Rate how strongly you felt each of the following emotions: Afraid,s1_r1_e1,Integer,"[1,5]","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely",NA,1,NA,direct-redcap
panasrtq_i11,"RTQ, question 1","I had thoughts or images about the situation that occurred over and over again, that resulted in my feelings getting worse and worse.",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i12,"RTQ, question 2","There was nothing more I could do about the situation, so I didn't think about it anymore.",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i13,"RTQ, question 3",I listened to sad music,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i14,"RTQ, question 4","I had thoughts or images about turning the clock back to do something again, but doing it better.",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i15,"RTQ, question 5","I had thoughts or images about all my shortcomings, failings, faults, mistakes.",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i16,"RTQ, question 6",I went some place alone to think about my feelings.,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i17,"RTQ, question 7",My thoughts overwhelmed me,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i18,"RTQ, question 8","I had thoughts or images like ""Why do I have problems other people don't have?""",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i19,"RTQ, question 9","When I was under pressure, I thought a lot about the situation",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i20,"RTQ, question 10",I had thoughts or images about a past event that came into my head even when I did not wish to think about it again,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i21,"RTQ, question 11","I had thoughts or images that ""I won't be able to do my job/work because I feel so badly.""",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i22,"RTQ, question 12",I went away by myself and thought about why I felt this way.,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i23,"RTQ, question 13",I had thoughts or images about the situation that resulted in me avoiding similar situations and that reinforced a decision to avoid similar situations.,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i24,"RTQ, question 14",I found it easy to dismiss distressing thoughts about the situation,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i25,"RTQ, question 15","I had thoughts or images like ""Why can't I get going?""",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i26,"RTQ, question 16",I had thoughts or images of the situation that were difficult to forget.,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i27,"RTQ, question 17",I was always thinking about something.,s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i28,"RTQ, question 18",I didn't tend to think about it (the situation),s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
panasrtq_i29,"RTQ, question 19","Once I started thinking about the situation, I couldn't stop.",s1_r1_e1,Integer,"[1,5]","1, Not true at all | 2,  | 3, Somewhat true | 4,  | 5, Very true",NA,1,NA,direct-redcap
