variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
sassy_i1,"SASSY, scenario 1",You notice at school one day that a favorite book of yours is missing. Later you notice a boy/girl in your class has a similar book in their bag. What do you think is most likely to have happened to your book?,s1_r1_e1,Integer,"0, 1, 2, 3","2, That child has stolen the book and put it in their bag. | 3, Someone who doesn't like you has taken your book so you will be in trouble with your parents. | 0, You left your book at home. | 1, A friend borrowed the book thinking you wouldn't mind.",NA,1,NA,direct-redcap
sassy_i2,"SASSY, scenario 2",You see the School Principal walking around the playground and s/he has been asking other children where you are. Why do you think the Principal is most likely looking for you?,s1_r1_e1,Integer,"0, 1, 2, 3","0, The principal has a message for you. | 2, The principal thinks you have done something wrong and is angry. | 1, The principal wants to tell you he/she has noticed you are working harder and is pleased. | 3, One of the other children has told the teachers something bad about you.",NA,1,NA,direct-redcap
sassy_i3,"SASSY, scenario 3",You arrange to have a party at 4:00pm and by 4:30pm no one has arrived. What do you think is most likely to have happened?,s1_r1_e1,Integer,"0, 1, 2, 3","2, Your friends are angry at you and don't want to come. | 0, You must have put 4:30pm on the invitation. | 1, Your friends are late because the traffic is very heavy. | 3, Your friends don't want to come because they think it will be really boring.",NA,1,NA,direct-redcap
sassy_i4,"SASSY, scenario 4",You are showing your school project in front of the class and two students in the back are giggling. What is the reason that they are giggling?,s1_r1_e1,Integer,"0, 1, 2, 3","2, They think the project is really dumb. | 0, They are being silly and tickling each other. | 1, Another kid is making funny faces at them. | 3, There is a big stain on your uniform and they are laughing at you.",NA,1,NA,direct-redcap
sassy_i5,"SASSY, scenario 5",You are sleeping over at a friend's place and his/her parents seem to be really annoyed and cranky all the time. What is the most likely reason that your friend's parents are annoyed and cranky all the time?,s1_r1_e1,Integer,"0, 1, 2, 3","0, They had a little argument and are a bit upset with each other. | 2, They don't really like you. | 3, They think you have done something wrong. | 1, They had a party last night and they are tired and don't feel well.",NA,1,NA,direct-redcap
sassy_i6,"SASSY, scenario 6",You see a group of students from another class playing a great game. You walk over and want to join in and you hear them laughing. Which of the following do you think is most likely to happen next?,s1_r1_e1,Integer,"0, 1, 2, 3","2, They are going to start looking at you and telling secrets about you. | 0, They will soon ask you to join in. | 3, One of them is likely to rush up and push you away. | 1, They are going to notice you and smile.",NA,1,NA,direct-redcap
sassy_scrdTotal,SASSY total score,count of all sassy items with response > 1 (NA if sassy_percTotal < 1),s1_r1_e1,Integer,"[0,6]",NA,NA,1,NA,code-instruments
sassy_scrdSocRej,SASSY social rejection subscore,"count of sassy items 3, 4, and 6 with response > 1 (NA if sassy_percSocRej < 1)",s1_r1_e1,Integer,"[0,3]",NA,NA,1,NA,code-instruments
sassy_scrdBlame,SASSY blame/accusation subscore,"count of sassy items 1, 2, and 5 with response > 1 (NA if sassy_percBlame < 1)",s1_r1_e1,Integer,"[0,3]",NA,NA,1,NA,code-instruments
sassy_percTotal,SASSY total percentage response,percentage of response for all sassy items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
sassy_percSocRej,SASSY social rejection percentage response,percentage of response for sassy social rejection items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
sassy_percBlame,SASSY blame/accusation percentage response,percentage of response for sassy blame/accusation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
