variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
scaared_i1,"SCAARED, question 1","When I feel nervous, it is hard for me to breathe.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i2,"SCAARED, question 2","I get headaches when I am at school, at work or in public places.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i3,"SCAARED, question 3",I don't like to be with people I don't know well.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i4,"SCAARED, question 4",I get nervous if I sleep away from home.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i5,"SCAARED, question 5",I worry about people liking me.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i6,"SCAARED, question 6","When I get anxious, I feel like passing out.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i7,"SCAARED, question 7",I am nervous.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i8,"SCAARED, question 8",It is hard for me to stop worrying.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i9,"SCAARED, question 9",People tell me that I look nervous.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i10,"SCAARED, question 10",I feel nervous with people I don't know well.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i11,"SCAARED, question 11","I get stomachaches at school, at work, or in public places.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i12,"SCAARED, question 12","When I get anxious, I feel like I'm going crazy.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i13,"SCAARED, question 13",I worry about sleeping alone.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i14,"SCAARED, question 14",I worry about being as good as other people.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i15,"SCAARED, question 15","When I get anxious, I feel like things are not real.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i16,"SCAARED, question 16",I have nightmares about something bad happening to my family.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i17,"SCAARED, question 17","I worry about going to work or school, or to public places.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i18,"SCAARED, question 18","When I get anxious, my heart beats fast.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i19,"SCAARED, question 19",I get shaky.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i20,"SCAARED, question 20",I have nightmares about something bad happening to me.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i21,"SCAARED, question 21",I worry about things working out for me.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i22,"SCAARED, question 22","When I get anxious, I sweat a lot.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i23,"SCAARED, question 23",I am a worrier.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i24,"SCAARED, question 24","When I worry a lot, I have trouble sleeping.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i25,"SCAARED, question 25",I get really frightened for no reason at all.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i26,"SCAARED, question 26",I am afraid to be alone in the house.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i27,"SCAARED, question 27",It is hard for me to talk with people I don't know well.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i28,"SCAARED, question 28","When I get anxious, I feel like I'm choking.",s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i29,"SCAARED, question 29",People tell me that I worry too much.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
scaared_i30,"SCAARED, question 30",I don't like to be away from my family.,s1_r1_e1,Integer,"0, 1, 2","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true",NA,1,NA,direct-redcap
