measure,english,eseu,draft_esla,revised_esla,final_esla
SCAARED,Screen for Adult Anxiety Related Disorders (SCAARED),,Evaluación de Desordenes Relacionados a la Ansiedad en la Adultez,Detección de Desordenes Relacionados con la Ansiedad en Adultos ,Detección de Desordenes Relacionados con la Ansiedad en Adultos 
SCAARED,"Below is a list of sentences that describe how people feel. Read each phrase and decide if it is “Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very True or Often True” for you. Then, for each sentence, select the option that corresponds to the response that seems to describe you now or within the past 3 months.","A continuación, hay una lista de oraciones que describen cómo se sienten las personas. Lee cada frase y decide cual es la respuesta que más se aproxima a lo que han sido sus sentimientos. (""Casi nunca es cierto o nunca es cierto"", o"" Es cierto algunas veces"", o ""Casi siempre cierto o siempre es cierto”). Luego, en cada oración, marque √ la casilla que corresponde a la respuesta que parece describirlo ahora o en los últimos 3 meses.","A continuación, hay una lista de oraciones que describen cómo se sienten las personas. Lea cada frase y decida cuál es la respuesta que más se aproxima a lo que han sido sus sentimientos. (""Casi nunca es cierto o nunca es cierto"", ""Es cierto algunas veces"", o ""Casi siempre cierto o siempre es cierto”). Luego, en cada oración, marque la casilla que corresponde a la respuesta que parece describirlo ahora o en los últimos 3 meses.",N/A,"A continuación, hay una lista de oraciones que describen cómo se sienten las personas. Lea cada frase y decida cuál es la respuesta que más se aproxima a lo que han sido sus sentimientos. (""Casi nunca es cierto o nunca es cierto"", ""Es cierto algunas veces"", o ""Casi siempre cierto o siempre es cierto”). Luego, en cada oración, marque la casilla que corresponde a la respuesta que parece describirlo ahora o en los últimos 3 meses."
SCAARED,"0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","0, ""Casi Nunca es Cierto” o “Nunca es Cierto"" | 1, “Es cierto Algunas Veces"" | 2, “Casi Siempre Cierto” o “Siempre es Cierto”","0, ""Casi nunca es cierto” o “Nunca es cierto"" | 1, “Es cierto algunas veces"" | 2, “Casi siempre es cierto” o “Siempre es cierto”","1, ""Algo cierto o a veces cierto","0, ""Casi nunca es cierto” o “Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, “Casi siempre es cierto” o “Siempre es cierto”"
SCAARED,"When I feel nervous, it is hard for me to breathe.","Cuando me siento nervioso(a), me cuesta respirar.","Cuando me siento nervioso(a), me cuesta respirar.",N/A,"Cuando me siento nervioso(a), me cuesta respirar."
SCAARED,"I get headaches when I am at school, at work or in public places.","Tengo dolores de cabeza cuando estoy en la universidad, instituto, en el trabajo o en lugares públicos.","Tengo dolores de cabeza cuando estoy en la universidad, instituto, en el trabajo o en lugares públicos.",N/A,"Tengo dolores de cabeza cuando estoy en la universidad, instituto, en el trabajo o en lugares públicos."
SCAARED,I don't like to be with people I don't know well.,No me gusta estar con personas que no conozco bien.,No me gusta estar con personas que no conozco bien.,N/A,No me gusta estar con personas que no conozco bien.
SCAARED,I get nervous if I sleep away from home.,Me pongo nervioso(a) si duermo fuera de casa.,Me pongo nervioso(a) si duermo fuera de casa.,N/A,Me pongo nervioso(a) si duermo fuera de casa.
SCAARED,I worry about people liking me.,Me preocupa gustar a la gente,Me preocupa gustarle a la gente,N/A,Me preocupa gustarle a la gente
SCAARED,"When I get anxious, I feel like passing out.","Cuando me pongo ansioso(a), siento que voy a desmayarme.","Cuando me pongo ansioso(a), siento que voy a desmayarme.",N/A,"Cuando me pongo ansioso(a), siento que voy a desmayarme."
SCAARED,I am nervous.,Estoy nervioso(a).,Estoy nervioso(a).,N/A,Estoy nervioso(a).
