variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
scaaredes_b_i1,"SCAARED (version b, Spanish), question 1","Cuando me siento nervioso/a, me cuesta respirar.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i2,"SCAARED (version b, Spanish), question 2","Tengo dolores de cabeza cuando estoy en la universidad, instituto, en el trabajo o en lugares públicos.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i3,"SCAARED (version b, Spanish), question 3",No me gusta estar con personas que no conozco bien.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i4,"SCAARED (version b, Spanish), question 4",Me pongo nervioso/a si duermo fuera de casa.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i5,"SCAARED (version b, Spanish), question 5",Me preocupa gustarle a la gente.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i6,"SCAARED (version b, Spanish), question 6","Cuando me pongo ansioso/a, siento que voy a desmayarme.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i7,"SCAARED (version b, Spanish), question 7",Estoy nervioso/a.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i8,"SCAARED (version b, Spanish), question 8",Me cuesta dejar de preocuparme.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i9,"SCAARED (version b, Spanish), question 9",La gente me dice que parezco nervioso/a.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i10,"SCAARED (version b, Spanish), question 10",Me siento nervioso/a con personas que no conozco bien.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i11,"SCAARED (version b, Spanish), question 11","Me dan dolores del estómago en la universidad, instituto, en el trabajo o en lugares públicos.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i12,"SCAARED (version b, Spanish), question 12","Cuando me pongo ansioso/a, siento que me estoy volviendo loco/a.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i13,"SCAARED (version b, Spanish), question 13",Me preocupa dormir solo/a.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i14,"SCAARED (version b, Spanish), question 14",Me preocupa ser tan bueno/a como los demás.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i15,"SCAARED (version b, Spanish), question 15","Cuando me pongo ansioso/a, siento que las cosas no son reales.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i16,"SCAARED (version b, Spanish), question 16",Tengo pesadillas en las que algo malo que le pasa a mi familia.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i17,"SCAARED (version b, Spanish), question 17",Me preocupa ir al trabajo o a la universidad o instituto o a lugares públicos.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i18,"SCAARED (version b, Spanish), question 18","Cuando me siento ansioso/a, mi corazón late rápido.",s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i19,"SCAARED (version b, Spanish), question 19",Me pongo tembloroso/a.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
scaaredes_b_i20,"SCAARED (version b, Spanish), question 20",Tengo pesadillas en las que algo malo que me está pasando.,s1_r1_e1,Integer,"0, 1, 2","0, ""Casi nunca es cierto"" o ""Nunca es cierto"" | 1,  ""Algo cierto o a veces cierto"" | 2, ""Casi siempre es cierto"" o ""Siempre es cierto""",NA,1,NA,direct-redcap
