variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
scaredp_i1,"SCARED (parent version), question 1","When my child feels frightened, it is hard for him/her to breathe",s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i2,"SCARED (parent version), question 2",My child gets headaches when he/she is at school,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i3,"SCARED (parent version), question 3",My child doesn't like to be with people he/she doesn't know well,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i4,"SCARED (parent version), question 4",My child gets scared if he/she sleeps away from home,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i5,"SCARED (parent version), question 5",My child worries about other people liking him/her,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i6,"SCARED (parent version), question 6","When my child gets frightened, he/she feels like passing out",s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i7,"SCARED (parent version), question 7",My child is nervous,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i8,"SCARED (parent version), question 8",My child follows me wherever I go,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i9,"SCARED (parent version), question 9",People tell me that my child looks nervous,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scaredp_i10,"SCARED (parent version), question 10",My child feels nervous with people he/she doesn't know well,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
