variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
scared_i1,"SCARED (child version), question 1","1. When I feel frightened, it is hard to breathe.",s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i2,"SCARED (child version), question 2",2. I get headaches when I am at school.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i3,"SCARED (child version), question 3",3. I don't like to be with people I don't know well.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i4,"SCARED (child version), question 4",4. I get scared if I sleep away from home.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i5,"SCARED (child version), question 5",5. I worry about other people liking me.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i6,"SCARED (child version), question 6","6. When I get frightened, I feel like passing out.",s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i7,"SCARED (child version), question 7",7. I am nervous.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i8,"SCARED (child version), question 8",8. I follow my mother or father wherever they go.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i9,"SCARED (child version), question 9",9. People tell me that I look nervous.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i10,"SCARED (child version), question 10",10. I feel nervous with people I don't know well.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i11,"SCARED (child version), question 11",11. I get stomachaches at school.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i12,"SCARED (child version), question 12","12. When I get frightened, I feel like I am going crazy.",s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
scared_i13,"SCARED (child version), question 13",13. I worry about sleeping alone.,s1_r1_e1,Integer,"0, 1, 2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct-redcap
