variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
scaredpes_i1,"SCARED (parent version, Spanish), question 1","Cuando mi niño/a se siente asustado/a, le cuesta respirar.",s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i2,"SCARED (parent version, Spanish), question 2",A mi niño/a le dan dolores de cabeza cuando está en la escuela.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i3,"SCARED (parent version, Spanish), question 3",A mi niño/a no le gusta estar con personas que no conoce bien.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i4,"SCARED (parent version, Spanish), question 4",Mi niño/a se asusta si duerme fuera de casa.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i5,"SCARED (parent version, Spanish), question 5",A mi niño/a le preoucpa agradarle a otras personas.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i6,"SCARED (parent version, Spanish), question 6","Cuando mi niño/a se asusta, siente que se va a desmayar.",s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i7,"SCARED (parent version, Spanish), question 7",Mi niño/a es nervioso/a.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i8,"SCARED (parent version, Spanish), question 8",Mi niño/a me sigue a todas partes donde voy.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i9,"SCARED (parent version, Spanish), question 9",La gente me dice que mi niño/a se ve nervioso/a.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
scaredpes_i10,"SCARED (parent version, Spanish), question 10",Mi niño/a se siente nervioso/a con personas que no conoce bien.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",NA,1,NA,direct-redcap
