variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
sias6sps6_b_i1,"SIAS6SPS6 (version b), question 1",I have difficulty making eye contact with others,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i2,"SIAS6SPS6 (version b), question 2",I find it difficult mixing comfortably with the people I work with,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i3,"SIAS6SPS6 (version b), question 3",I tense up if I meet an acquaintance on the street,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i4,"SIAS6SPS6 (version b), question 4",I feel tense if I am alone with just one person,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i5,"SIAS6SPS6 (version b), question 5",I have difficulty talking with other people,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i6,"SIAS6SPS6 (version b), question 6",I find it difficult to disagree with another's point of view,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i1,"SIAS6SPS6 (version b), question 7",I get nervous that people are staring at me as I walk down the street,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i2,"SIAS6SPS6 (version b), question 8",I worry about shaking or trembling when I'm watched by other people,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i3,"SIAS6SPS6 (version b), question 9",I would get tense if I had to sit facing other people on a bus or train,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i4,"SIAS6SPS6 (version b), question 10",I worry I might do something to attract the attention of other people,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i5,"SIAS6SPS6 (version b), question 11","When in an elevator, I am tense if people look at me",s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_b_i6,"SIAS6SPS6 (version b), question 12",I can feel conspicuous standing in a line,s1_r1_e1,Likert,"0, 1, 2, 3, 4","0, Not at all characteristic or true of me | 1, Slight characteristic or true of me | 2, Moderately characteristic or true of me | 3, Very characteristic or true of me | 4, Extremely characteristic or true of me",NA,1,NA,direct-redcap
sias6sps6_scrdSIAS,SIAS6 (version b) total score,"sum of sias6sps6_b items 1, 2, 3, 4, 5, and 6 (NA if sias6sps6_percSIAS < 1)",s1_r1_e1,Integer,"[0,24]",NA,NA,1,NA,code-instruments
sias6sps6_scrdSPS,SPS6 (version b) total score,"sum of sias6sps6_b items 7, 8, 9, 10, 11, and 12 (NA if sias6sps6_percSPS < 1)",s1_r1_e1,Integer,"[0,24]",NA,NA,1,NA,code-instruments
sias6sps6_percSIAS,SIAS6 (version b) percentage response,percentage of response for sias6_b items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
sias6sps6_percSPS,SPS6 (version b) percentage response,percentage of response for sps6_b items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
