variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
spaip_i1,"SPAI (parent report), question 1",My child feels scared when he/she has to join in a social situation with a large group of boys and girls (more than 6).,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i2,"SPAI (parent report), question 2",My child feels scared when he/she is with other boys and girls or adults and becomes the center of attention.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i3,"SPAI (parent report), question 3","My child feels scared when he/she is with other boys and girls or adults and he/she has to do something while they watch (read aloud, play a game, play a sport).",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i4,"SPAI (parent report), question 4",My child feels scared when he/she has to speak or read in front of a group of people.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i5,"SPAI (parent report), question 5","My child feels scared when answering questions in class or at meetings (scouts, soccer team) even when he/she knows the answer.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i6,"SPAI (parent report), question 6","My child feels so scared at parties, dances, school, or anyplace where there will be more than two other people, that he/she will go home early.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i7,"SPAI (parent report), question 7",My child feels scared when he/she meets new kids.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i8,"SPAI (parent report), question 8",My child is too scared to ask questions in class.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i9,"SPAI (parent report), question 9, subquestion 1",My child feels scared when he/she is in the school cafeteria with......same age boys or girls he/she does know.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i10,"SPAI (parent report), question 9, subquestion 2",My child feels scared when he/she is in the school cafeteria with......same age boys or girls he/she does not know.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i11,"SPAI (parent report), question 9, subquestion 3",My child feels scared when he/she is in the school cafeteria with......adults.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i12,"SPAI (parent report), question 10, subquestion 1","If somebody starts arguing with my child, he/she feels scared and does not know what to do if that person is......same age boys or girls he/she does know.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i13,"SPAI (parent report), question 10, subquestion 2","If somebody starts arguing with my child, he/she feels scared and does not know what to do if that person is......same age boys or girls he/she does not know.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i14,"SPAI (parent report), question 10, subquestion 3","If somebody starts arguing with my child, he/she feels scared and does not know what to do if that person is......adults.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaip_i15,"SPAI (parent report), question 11, subquestion 1","If somebody asks my child to do something that he/she does not want to do, my child feels scared and does not know what to do if that person is......same age boys or girls he/she does know.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
