variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
spaic_i1,"SPAI (child self report), question 1",I feel scared when I have to join in a social situation with a large group of boys and girls (more than 6).,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i2,"SPAI (child self report), question 2",I feel scared when I am with other boys and girls or adults and I become the center of attention (they all look at me).,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i3,"SPAI (child self report), question 3","I feel scared when I am with other boys and girls or adults and I have to do something while they watch me (read aloud, play a game, play a sport).",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i4,"SPAI (child self report), question 4",I feel scared when I have to speak or read in front of a group of people.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i5,"SPAI (child self report), question 5","I feel scared when answering questions in class or at meetings (scouts, soccer team) even when I know the answer.",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i6,"SPAI (child self report), question 6","I feel so scared at parties, dances, school, or anyplace where there will be more than two other people that I go home early",s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i7,"SPAI (child self report), question 7",I feel scared when I meet new kids.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i8,"SPAI (child self report), question 8",I am too scared to ask questions in class.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i9,"SPAI (child self report), question 9, subquestion 1",I feel scared when I am in the school cafeteria with......boys or girls my age that I know.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i10,"SPAI (child self report), question 9, subquestion 2",I feel scared when I am in the school cafeteria with......boys or girls my age that I don't know.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
spaic_i11,"SPAI (child self report), question 9, subquestion 3",I feel scared when I am in the school cafeteria with......adults.,s1_r1_e1,Integer,"0, 1, 2","0, Never, or Hardly Ever | 1, Sometimes | 2, Most of the Time, or Always",NA,1,NA,direct-redcap
