variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
spaipes_i1,"SPAI (parent report, Spanish), question 1; excluded from short version and hidden by default",Mi hijo/a se siente asustado/a cuando tiene que unirse a una situación social con un grupo grande de niños y niñas.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i2,"SPAI (parent report, Spanish), question 2; excluded from short version and hidden by default",Mi hijo/a se siente asustado/a cuando está con otros niños y niñas o adultos y se convierte en el centro de atención.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i3,"SPAI (parent report, Spanish), question 3","Mi hijo/a se siente asustado/a cuando está con otros niños y niñas o adultos y tiene que hacer algo mientras ellos lo miran (leer en voz alta, jugar un juego, jugar un deporte).",s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i4,"SPAI (parent report, Spanish), question 4",Mi hijo/a se siente asustado/a cuando tiene que hablar o leer en frente de un grupo de gente.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i5,"SPAI (parent report, Spanish), question 5; excluded from short version and hidden by default","Mi hijo/a se siente asustado/a cuando responde preguntas en clase o en reuniones (exploradores, equipo de fútbol) hasta cuando sabe la respuesta.",s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i6,"SPAI (parent report, Spanish), question 6; excluded from short version and hidden by default","Mi hijo/a se siente tan asustado/a en fiestas, bailes, la escuela, o cualquier otro lugar donde van a haber mas de dos otras personas, que el/ella se irá a casa temprano.",s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i7,"SPAI (parent report, Spanish), question 7; excluded from short version and hidden by default",Mi hijo/a se siente asustado/a cuando conoce a nuevos niños/niñas.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i8,"SPAI (parent report, Spanish), question 8; excluded from short version and hidden by default",Mi hijo/a tiene mucho miedo de hacer preguntas en clase.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i9,"SPAI (parent report, Spanish), question 9, subquestion 1; excluded from short version and hidden by default",Mi hijo/a se siente asustado/a cuando el/ella está en la cafetería de la escuela con:...niños o niñas de su edad que conoce.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i10,"SPAI (parent report, Spanish), question 9, subquestion 2; excluded from short version and hidden by default",Mi hijo/a se siente asustado/a cuando el/ella está en la cafetería de la escuela con:...niños o niñas de su edad que no conoce.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i11,"SPAI (parent report, Spanish), question 9, subquestion 3; excluded from short version and hidden by default",Mi hijo/a se siente asustado/a cuando el/ella está en la cafetería de la escuela con:...adultos.,s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
spaipes_i12,"SPAI (parent report, Spanish), question 10, subquestion 1","Si alguien empieza a discutir con mi hijo/a, el/ella se siente asustado/a y no sabe que hacer si la otra persona es:...niños o niñas de su edad que conoce.",s1_r1_e1,Integer,"0, 1, 2","0, Nunca o casi nunca | 1, A veces | 2, La mayor parte del tiempo o siempre",NA,1,NA,direct-redcap
