variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
sssqpost_i1,"SSSQPOST, question 1: currently feeling",Dissatisfied,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i2,"SSSQPOST, question 2: currently feeling",Alert,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i3,"SSSQPOST, question 3: currently feeling",Depressed,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i4,"SSSQPOST, question 4: currently feeling",Sad,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i5,"SSSQPOST, question 5: currently feeling",Active,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i6,"SSSQPOST, question 6: currently feeling",Impatient,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i7,"SSSQPOST, question 7: currently feeling",Annoyed,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i8,"SSSQPOST, question 8: currently feeling",Angry,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i9,"SSSQPOST, question 9: currently feeling",Irritated,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i10,"SSSQPOST, question 10: currently feeling",Grouchy,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i11,"SSSQPOST, question 11: recent thoughts",I was committed to attaining my performance goals.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i12,"SSSQPOST, question 12: recent thoughts",I wanted to succeed on the task.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i13,"SSSQPOST, question 13: recent thoughts",I was motivated to do the task.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
sssqpost_i14,"SSSQPOST, question 14: recent thoughts",I tried to figure myself out.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",NA,1,NA,direct-redcap
