variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
swcq_i1,SWCQ_ question 1,Whether or not I reach my goals in school strongly <i>affects</i> my feelings of worth,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i2,SWCQ_ question 2,The way I feel about myself as a person <i>depends</i> a lot on what people in my life think of me,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i3,SWCQ_ question 3,My feelings of self-worth <i>don't</i> change even if my physical appearance changes,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i4,SWCQ_ question 4,"The way I feel about myself as a person does <i>not</i> depend on my performance in activities (such as music, dance, sports, or theater)",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i5,SWCQ_ question 5,My performance in schoolwork does <i>not</i> influence how I feel about myself,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i6,SWCQ_ question 6,Other people's feedback <i>makes or breaks</i> how I feel about myself,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i7,SWCQ_ question 7,How I look physically really <i>affects</i> how worthy I feel as a person,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i8,SWCQ_ question 8,"My performance in activities (such as music, dance, sports, or theater) does <i>not</i> influence how I feel about myself",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i9,SWCQ_ question 9,The way I feel about myself does <i>not</i> depend on how well I do in my schoolwork or on school projects,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i10,SWCQ_ question 10,"If other people's feelings about me change, my feelings of self-worth <i>change</i> as well",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i11,SWCQ_ question 11,The way I look physically <i>makes or breaks</i> how I feel about myself as a person,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i12,SWCQ_ question 12,"Whether or not I reach my goals in activities (such as music, dance, sports, or theater) does <i>not</i> affect how worthy I feel",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i13,SWCQ_ question 13,The way I feel about myself <i>depends</i> a lot on how well I do in my schoolwork or on school projects,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i14,SWCQ_ question 14,Other people's approval (or disapproval) strongly <i>affects</i> how worthy I feel,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i15,SWCQ_ question 15,The way I look physically does <i>not</i> affect how I feel about myself,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
swcq_i16,SWCQ_ question 16,"My performance in activities (such as music, dance, sports, or theater) <i>makes or breaks</i> the way I feel about myself",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6","1, not at all true for me | 2, a little true for me | 3, somewhat true for me | 4, true for me | 5, very true for me | 6, extremely true for me",NA,1,NA,direct-redcap
