variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
tai_b_i1,"TAI (version b), question 1",I wish there were some way to succeed without taking tests.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i2,"TAI (version b), question 2",Getting a good score on one test does not seem to increase my confidence on other tests.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i3,"TAI (version b), question 3","People (family, friends, etc.) are counting on me to do well.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i4,"TAI (version b), question 4","During a test, I sometimes find myself having trains of thought that have nothing to do with the test.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i5,"TAI (version b), question 5",I do not enjoy eating before or after an important test.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i6,"TAI (version b), question 6",I have always dreaded courses in which the teacher has the habit of giving pop quizzes.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i7,"TAI (version b), question 7","It seems to me that test sessions should not be made the formal, tense situations they are.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i8,"TAI (version b), question 8",People who do well on tests generally end up in better positions in life.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i9,"TAI (version b), question 9","Before or during an important exam, I find myself thinking about how much brighter some of the other test-takers are.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i10,"TAI (version b), question 10","Even though I don't always think about it, I am concerned about how others will view me if I do poorly.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i11,"TAI (version b), question 11",Worrying about how well I will do interferes with my preparation and performance on tests.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i12,"TAI (version b), question 12",Having to face an important test disturbs my sleep.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i13,"TAI (version b), question 13",I cannot stand to have people walking around watching me while I take a test.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i14,"TAI (version b), question 14","If exams could be done away with, I think I would actually learn more from my courses.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i15,"TAI (version b), question 15",Knowing that my future depends in part on doing well on tests upsets me.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i16,"TAI (version b), question 16",I know I could outscore most people if I could just get myself together.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i17,"TAI (version b), question 17",People will question my ability if I do poorly.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i18,"TAI (version b), question 18",I never seem to be fully prepared to take tests.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i19,"TAI (version b), question 19",I cannot relax physically before a test.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i20,"TAI (version b), question 20",I mentally freeze up on important tests.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i21,"TAI (version b), question 21","Room noises (from lights, heating/cooling systems, other test-takers) bother me.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i22,"TAI (version b), question 22","I have a hollow, uneasy feeling before taking a test.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i23,"TAI (version b), question 23",Tests make me wonder if I will ever reach my goals.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i24,"TAI (version b), question 24",Tests do not really show how much a person knows.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i25,"TAI (version b), question 25","If I score low, I am not going to tell anyone exactly what my score was.",s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i26,"TAI (version b), question 26",I often feel the need to cram before a test.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
tai_b_i27,"TAI (version b), question 27",My stomach becomes upset before important tests.,s1_r1_e1,Logical,"0, 1","1, Yes (reflects my experience) | 0, No (does not apply to me)",NA,1,NA,direct-redcap
