measure,english,draft_esla,edited_esla,esla_for_backtranslation,backtranslated_esla,reconciled_esla,final_esla
TEXI Self-Report,TEENAGE EXECUTIVE FUNCTIONING INVENTORY (TEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES,n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES,QUESTIONNAIRE FOR ADOLESCENTS ABOUT EXECUTIVE FUNCTIONING,Questionnaire v inventory? TEXI acronym?,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI)
TEXI Self-Report,SELF-REPORT,MEDIDA DE AUTO-INFORME,REPORTE-PROPIO,REPORTE-PROPIO,SELF-REPORT,n/a,REPORTE-PROPIO
TEXI Self-Report,Below are some statements about how you are as a person.," A continuación, va a encontrar una serie de afirmaciones sobre cómo eres como persona.","A continuación, encontrará una serie de declaraciones sobre cómo eres como persona. ","A continuación, encontrará una serie de declaraciones sobre cómo eres como persona. ","Continuing, you will encounter a series of statements about how you are as a person",n/a,"A continuación, encontrará una serie de declaraciones sobre cómo eres como persona. "
TEXI Self-Report,Mark your answer by circling one of the numbers to the right of each statement.,Señale su respuesta redondeando con un circulo uno de los números a la derecha de cada afirmación. ,Circule uno de los numeros para señalar su respuesta a la derecha de cada declaración. ,Circule uno de los números para señalar su respuesta a la derecha de cada declaración. ,"Circle one of the numbers, signalling your response, to the right of each statement",n/a,Circule uno de los números para señalar su respuesta a la derecha de cada declaración. 
TEXI Self-Report,"Perhaps others feel differently, but we want to know what you think about yourself.","Puede que otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.",n/a,"Puede que otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.","Perhaps others feel differently, but we want to know what you think about yourself.",n/a,"Puede que otros se sientan diferente, pero queremos saber lo que piensa de usted mismo."
TEXI Self-Report,Try to answer as honestly as possible.,Trate de responder honestamente.,n/a,Trate de responder honestamente.,Try to answer as honestly as possible,n/a,Trate de responder honestamente.
TEXI Self-Report,Definitely not true,Definitivamente no es cierto,n/a,Definitivamente no es cierto,Definitely not true,n/a,Definitivamente no es cierto
TEXI Self-Report,Not true,No es cierto,n/a,No es cierto,Not true,n/a,No es cierto
TEXI Self-Report,Partially true,Mas o menos cierto,n/a,Mas o menos cierto,More or less true,n/a,Mas o menos cierto
TEXI Self-Report,TRUE,Cierto,n/a,Cierto,True.,n/a,Cierto
TEXI Self-Report,Definitely true,Definitivamente cierto,n/a,Definitivamente cierto,Definitely true,n/a,Definitivamente cierto
TEXI Self-Report,I have difficulty remembering long instructions,Me cuesta recordar instrucciones largas,Tengo dificultades recordando instrucciones largas. ,Tengo dificultades recordando instrucciones largas. ,I have difficulty remembering lengthy instructions,n/a,Tengo dificultades recordando instrucciones largas. 
TEXI Self-Report,I sometimes have difficulty remembering what I need to do in the middle of an activity,A veces me cuesta recordar lo que tengo que hacer cuando estoy en medio de una actividad,A veces tengo dificultad recordando lo que tengo que hacer cuando estoy en medio de una actividad. ,A veces tengo dificultad recordando lo que tengo que hacer cuando estoy en medio de una actividad. ,I sometimes have difficullty remembering what I have to do when I'm in the middle of an activity,n/a,A veces tengo dificultad recordando lo que tengo que hacer cuando estoy en medio de una actividad. 
TEXI Self-Report,I do things without first thinking about what could happen,Hago las cosas sin antes pensar sobre las consecuencias,Hago las cosas sin pensar primero en lo que pueda pasar.,Hago las cosas sin pensar primero en lo que pueda pasar.,I do things without first thinking of what could happen,n/a,Hago las cosas sin pensar primero en lo que pueda pasar.
