variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
texip_b_i1,"TEXI (other report, version b), question 1",Has difficulty remembering lengthy instructions,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i2,"TEXI (other report, version b), question 2",Has difficulty remembering what he/she needs to do in the middle of an activity,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i3,"TEXI (other report, version b), question 3",Has a tendency to do things without first thinking about what could happen,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i4,"TEXI (other report, version b), question 4",Has difficulty stopping an activity even though he/she is told that the activity is not allowed,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i5,"TEXI (other report, version b), question 5","When someone asks him/her to do several things, he/she cannot remember all of them",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i6,"TEXI (other report, version b), question 6",Has difficulty refraining from laughing or smiling in situations where it is inappropriate,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i7,"TEXI (other report, version b), question 7",Finds it difficult to come up with a new way to solve a problem when he/she gets stuck,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i8,"TEXI (other report, version b), question 8","When asked to get something, he/she forgets what he/she is supposed to get",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i9,"TEXI (other report, version b), question 9","Finds it difficult to plan things (e.g., remembering to bring everything necessary for school or when going on a trip)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i10,"TEXI (other report, version b), question 10","Has difficulty stopping him-/herself during an activity he/she likes (e.g., sits in front of the computer/mobile device even though it is time to go to bed)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i11,"TEXI (other report, version b), question 11",Has difficulty understanding instructions unless he/she is also shown <i>how</i> to do something,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i12,"TEXI (other report, version b), question 12",Has difficulty with tasks involving several steps that need to be completed in a certain order,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i13,"TEXI (other report, version b), question 13","Has difficulty learning from his/her own mistakes (e.g., repeats the same mistake over and over again)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i14,"TEXI (other report, version b), question 14",Appears to be more lively/wild than his/her peers,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i15,"TEXI (other report, version b), question 15",Has difficulty motivating him-/herself to do things that he/she does not like to do,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i16,"TEXI (other report, version b), question 16","Finds it difficult to start a task if distracted by something he/she likes (e.g., fails to start doing homework and instead uses his/her mobile device)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i17,"TEXI (other report, version b), question 17",Has difficulty stopping an activity when asked to do so,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i18,"TEXI (other report, version b), question 18","Often get more excited than his/her peers if something special happens (e.g., parties, trips, birthdays, winning a game)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i19,"TEXI (other report, version b), question 19",Fails to finish things that he/she has started,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_i20,"TEXI (other report, version b), question 20",Puts things off until the last minute,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texip_b_scrdInh,"TEXI (other report, version b) inhibition subscore","average of texip_b items 3, 4, 6, 10, 14, 15, 16, 17, 18, 19, and 20 (NA if texip_b_scrdInh < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
texip_b_scrdWm,"TEXI (other report, version b) working memory subscore","average of texip_b items 1, 2, 5, 7, 8, 9, 11, 12, and 13 (NA if texip_b_scrdWm < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
texip_b_percInh,"TEXI (other report, version b) inhibition subscore percentage response",percentage of response for texip_b inhibition items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
texip_b_percWm,"TEXI (other report, version b) working memory subscore percentage response",percentage of response for texip_b working memory items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
