variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
texi_b_i1,"TEXI (version b), question 1",I have difficulty remembering long instructions,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i2,"TEXI (version b), question 2",I have difficulty remembering what I need to do in the middle of an activity,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i3,"TEXI (version b), question 3",I do things without first thinking about what could happen,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i4,"TEXI (version b), question 4",I have difficulty stopping myself from doing things even though I know it's not allowed,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i5,"TEXI (version b), question 5","When someone asks me to do several things, I cannot remember all of them",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i6,"TEXI (version b), question 6",I cannot stop myself from laughing or smiling even though I know that it is inappropriate at the time,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i7,"TEXI (version b), question 7",I have difficulty coming up with a new way to solve a problem when I get stuck,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i8,"TEXI (version b), question 8","When I am asked to get something, I forget what I was supposed to get",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i9,"TEXI (version b), question 9","I find it difficult to plan things (e.g., remembering to bring everything necessary for school or when going on a trip)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i10,"TEXI (version b), question 10","I find it difficult to make myself stop an activity that I like (e.g., I sit in front of the computer or mobile device even though it is time to go to bed)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i11,"TEXI (version b), question 11",I have difficulty understanding instructions unless I am shown <i>how</i> to do something,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i12,"TEXI (version b), question 12",I have difficulty with tasks involving several steps that need to be completed in a certain order,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i13,"TEXI (version b), question 13",I have difficulty learning from my mistakes (I repeat the same mistake over and over again),s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i14,"TEXI (version b), question 14",People that I meet seem to think that I am more lively/wild compared to others my age,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i15,"TEXI (version b), question 15",I have difficulty motivating myself to do things that I do not like to do,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i16,"TEXI (version b), question 16","I find it difficult to start a task if I am distracted by something more fun (e.g., I fail to start doing my homework and instead use my mobile device)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i17,"TEXI (version b), question 17",I have difficulty stopping an activity when asked to do so,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i18,"TEXI (version b), question 18","I often get more excited compared to others my age if something special happens (e.g., parties, trips, birthdays, winning a game)",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i19,"TEXI (version b), question 19",I fail to finish things that I have started,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_i20,"TEXI (version b), question 20",I put things off until the last minute,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitely not true | 2, Not true | 3, Partially true | 4, True | 5, Definitely true",NA,1,NA,direct-redcap
texi_b_scrdInh,TEXI (version b) inhibition subscore,"average of texi_b items 3, 4, 6, 10, 14, 15, 16, 17, 18, 19, and 20 (NA if texi_b_scrdInh < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
texi_b_scrdWm,TEXI (version b) working memory subscore,"average of texi_b items 1, 2, 5, 7, 8, 9, 11, 12, and 13 (NA if texi_b_scrdWm < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
texi_b_percInh,TEXI (version b) inhibition subscore percentage response,percentage of response for texi_b inhibition items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
texi_b_percWm,TEXI (version b) working memory subscore percentage response,percentage of response for texi_b working memory items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
