variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
texipes_b_i1,"TEXI (other report, version b, Spanish), question 1",Tiene dificultades en recordar instrucciones largas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i2,"TEXI (other report, version b, Spanish), question 2",Tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i3,"TEXI (other report, version b, Spanish), question 3",Tiende a hacer cosas sin primero pensar en las consecuencias.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i4,"TEXI (other report, version b, Spanish), question 4",Tiene dificultades en acabar una actividad a pesar de que se le ha advertido a el/ella de que esa actividad no esta permitida.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i5,"TEXI (other report, version b, Spanish), question 5","Cuando alguien le pide a el/ella hacer varias cosas, el/ella no las recuerda todas.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i6,"TEXI (other report, version b, Spanish), question 6",Tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i7,"TEXI (other report, version b, Spanish), question 7",Tiene dificultad en encontrar una nueva solución a un problema cuando el/ella esta bloqueado/a.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i8,"TEXI (other report, version b, Spanish), question 8","Cuando alguien le pide que le traiga algo, se le olvida lo que tenia que traer.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i9,"TEXI (other report, version b, Spanish), question 9","Encuentra difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando se va de viaje).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i10,"TEXI (other report, version b, Spanish), question 10","Tiene dificultad para dejar de hacer una actividad que le gusta (por ejemplo, se sienta delante de la computadora/celular, a pesar de que es hora de irse a la cama).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i11,"TEXI (other report, version b, Spanish), question 11",Tiene dificultades entendiendo instrucciones a menos que le muestren <i>cómo</i> hacerlas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i12,"TEXI (other report, version b, Spanish), question 12",Tiene dificultad con las labores que incluyen varios pasos que se tienen que completar en un cierto orden.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i13,"TEXI (other report, version b, Spanish), question 13","Tiene dificultad en aprender de sus propios errores (por ejemplo, repite los mismos errores una y otra vez).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i14,"TEXI (other report, version b, Spanish), question 14","Aparenta ser más ""alocado/a"" que sus compañeros. ",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i15,"TEXI (other report, version b, Spanish), question 15",Tiene dificultad en auto-motivarse para hacer cosas que no le gustan hacer.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i16,"TEXI (other report, version b, Spanish), question 16","Tiene dificultad en empezar una labor si se distrae con algo mas divertido (por ejemplo, en vez de empezar sus tareas, utiliza su celular).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i17,"TEXI (other report, version b, Spanish), question 17",Le resulta difícil parar una actividad cuando se le pide.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i18,"TEXI (other report, version b, Spanish), question 18","Frecuentemente se entusiasma mas en comparación con personas de su edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
texipes_b_i19,"TEXI (other report, version b, Spanish), question 19",No termina las labores que ya empezó. ,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
