measure,english,draft_and_edited_eseu,backtranslated_eseu,reconciled_eseu,final_eseu,revised_english,revised_eseu,
TEXI Self-Report,TEENAGE EXECUTIVE FUNCTIONING INVENTORY (TEXI),INVENTARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI),INVENTORY OF EXECUTIVE FUNCTIONING FOR ADOLESCENTS (TEXI),n/a,INVENTARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI),,,
TEXI Self-Report,SELF-REPORT,VERSIÓN AUTO-INFORME,SELF-REPORT VERSION,n/a,VERSIÓN AUTO-INFORME,,,
TEXI Self-Report,Below are some statements about how you are as a person.,"A continuación, va a encontrar una serie de afirmaciones sobre cómo eres como persona.","Continuing, you will encounter a series of statements about how you are as a person",n/a,"A continuación, va a encontrar una serie de afirmaciones sobre cómo eres como persona.",,,
TEXI Self-Report,Mark your answer by circling one of the numbers to the right of each statement.,Marque su respuesta redondeando con un circulo uno de los números a la derecha de cada afirmación.  ,Mark your response by circling one of the numbers to the right of each statement,n/a,Marque su respuesta redondeando con un circulo uno de los números a la derecha de cada afirmación.  ,,,
TEXI Self-Report,"Perhaps others feel differently, but we want to know what you think about yourself.","Quizás otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.","Perhaps others may feel differently, but we want to know what you think about yourself.",n/a,"Quizás otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.",,,
TEXI Self-Report,Try to answer as honestly as possible.,Intenta responder lo más sincero posible.,Try to respond as sincerely as possible,n/a,Intenta responder lo más sincero posible.,,,
TEXI Self-Report,Definitely not true,Definitivamente no es cierto,Definitely not true,n/a,Definitivamente no es cierto,,,
TEXI Self-Report,Not true,No es cierto,Not true,n/a,No es cierto,,,
TEXI Self-Report,Partially true,Parcialmente cierto,Partially true,n/a,Parcialmente cierto,,,
TEXI Self-Report,TRUE,Cierto,True.,n/a,Cierto,,,
TEXI Self-Report,Definitely true,Definitivamente cierto,Definitely true,n/a,Definitivamente cierto,,,
TEXI Self-Report,I have difficulty remembering long instructions,Tengo dificultades para recordar instrucciones largas.,I have difficulty remembering lengthy instructions,n/a,Tengo dificultades para recordar instrucciones largas.,,,
TEXI Self-Report,I sometimes have difficulty remembering what I need to do in the middle of an activity,A veces tengo dificultad para recordar lo que tengo que hacer en medio de una actividad.,I sometimes have difficulty remembering what I have to do in the middle of an activity,n/a,A veces tengo dificultad para recordar lo que tengo que hacer en medio de una actividad.,I have difficulty remembering what I need to do in the middle of an activity,Tengo dificultad para recordar lo que tengo que hacer en medio de una actividad.,x
TEXI Self-Report,I do things without first thinking about what could happen,Hago cosas sin primero pensar en las consecuencias.,I do things without first thinking of the consequences.,n/a,Hago cosas sin primero pensar en las consecuencias.,,,
TEXI Self-Report,I sometimes have difficulty stopping myself from doing things even though I know it’s not allowed,A veces tengo dificultad para dejar de hacer cosas a pesar de que no estén permitidas. ,"I sometimes have diffiulty stopping myself from doing things, despite knowing it's not allowed.",n/a,A veces tengo dificultad para dejar de hacer cosas a pesar de que no estén permitidas. ,I have difficulty stopping myself from doing things even though I know it’s not allowed,Tengo dificultad para dejar de hacer cosas a pesar de que no estén permitidas. ,x
TEXI Self-Report,"When someone asks me to do several things, I sometimes cannot remember all of them","Cuando alguien me pide que haga varias cosas, a veces no recuerdo todas.","When someone asks me to do several things, I sometimes don't remember all of it",n/a,"Cuando alguien me pide que haga varias cosas, a veces no recuerdo todas.","When someone asks me to do several things, I cannot remember all of them","Cuando alguien me pide que haga varias cosas, no recuerdo todas.",x
