variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
tsis_i1,"TSIS, question 1",I can predict other peoples' behavior.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i2,"TSIS, question 2",I often feel that it is difficult to understand others' choices.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i3,"TSIS, question 3",I know how my actions will make others feel.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i4,"TSIS, question 4",I often feel uncertain around new people who I don't know.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i5,"TSIS, question 5",People often surprise me with the things they do.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i6,"TSIS, question 6",I understand other peoples' feelings.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i7,"TSIS, question 7",I fit in easily in social situations.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i8,"TSIS, question 8",Other people become angry with me without me being able to explain why.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i9,"TSIS, question 9",I understand others' wishes.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i10,"TSIS, question 10",I am good at entering new situations and meeting people for the first time.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i11,"TSIS, question 11",It seems as though people are often angry or irritated with me when I say what I think.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i12,"TSIS, question 12",I have a hard time getting along with other people.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i13,"TSIS, question 13",I find people unpredictable.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i14,"TSIS, question 14",I can often understand what others are trying to accomplish without the need for them to say anything.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i15,"TSIS, question 15",It takes a long time for me to get to know others well.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i16,"TSIS, question 16",I have often hurt others without realizing it.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i17,"TSIS, question 17",I can predict how others will react to my behavior.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i18,"TSIS, question 18",I am good at getting on good terms with new people.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i19,"TSIS, question 19","I can often understand what others really mean through their expression, body language, etc.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i20,"TSIS, question 20",I frequently have problems finding good conversation topics.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_i21,"TSIS, question 21",I am often surprised by others' reactions to what I do.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, describes me extremely poorly | 2,  | 3,  | 4,  | 5,  | 6,  | 7, describes me extremely well",NA,1,NA,direct-redcap
tsis_scrdSIP,TSIS social information processing subscore,"sum of tsis items 1, 3, 6, 9, 14, 17, and 19 (NA if tsis_SIP < 1)",s1_r1_e1,Integer,"[7,49]",NA,NA,1,NA,code-instruments
