variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
viaes_heritage,Initial question so that VIA (Spanish version) only presented to participants who identify as having a heritage culture,Tiene alguna cultura de origen (además de la americana o estadounidense)?,s1_r1_e1,Logical,"0,1","1, Sí | 0, No",NA,1,NA,direct-redcap
viaes_which,Specification of heritage culture,Nuestra cultura de origen (que no sea americana o estadounidense) es:,s1_r1_e1,Char,NA,NA,NA,1,NA,direct-redcap
viaes_i1,"VIA (Spanish version), question 1",Con frecuencia participo en las tradiciones de mi propia cultura.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i2,"VIA (Spanish version), question 2",Con frecuencia participo en las tradiciones americanas/estadounidenses populares.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i3,"VIA (Spanish version), question 3",Yo disfruto de actividades sociales con personas de mi misma cultura.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i4,"VIA (Spanish version), question 4",Yo disfruto de actividades sociales con personas americanas/estadounidenses.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i5,"VIA (Spanish version), question 5",Me siento cómodo interactuando con personas de mi misma cultura.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i6,"VIA (Spanish version), question 6",Me siento cómodo interactuando con personas americanas/estadounidenses.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i7,"VIA (Spanish version), question 7","Disfruto del entretenimiento (Ej., películas, música) de mi propia cultura.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i8,"VIA (Spanish version), question 8","Disfruto del entretenimiento (Ej., películas, música) americana/estadounidense.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i9,"VIA (Spanish version), question 9",Frecuentemente me comporto de acuerdo a las tradiciones de mi propia cultura.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i10,"VIA (Spanish version), question 10",Frecuentemente me comporto de forma típica americana/estadounidense.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i11,"VIA (Spanish version), question 11",Para mí es importante involucrarme en las actividades de mi propia cultura.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
viaes_i12,"VIA (Spanish version), question 12",Para mí es importante involucrarme en actividades americanas/estadounidenses.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, en Desacuerdo | 2,  | 3,  | 4,  | 5,  | 6,  | 7,  | 8,  | 9, en Acuerdo",NA,1,NA,direct-redcap
