variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
yssmpes_i1,"YSSM (parent version, Spanish), question 1","En un DÍA DE SEMANA típico , ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico?",s1_r1_e1,Time,"[0:00,23:59]",hh:mm,NA,1,NA,direct-redcap
yssmpes_i2,"YSSM (parent version, Spanish), question 2","En un típico DIA DE FIN DE SEMANA, ¿cuánto TIEMPO pasa su niño(a) usando una computadora, un teléfono celular, una tableta u otro dispositivo electrónico?",s1_r1_e1,Time,"[0:00,23:59]",hh:mm,NA,1,NA,direct-redcap
yssmpes_i3,"YSSM (parent version, Spanish), question 3",Qué tipos de medios en pantalla usa su niño/a más (no incluye medios en pantalla utilizados para la escuela o tarea)?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Televisión | 2, Videojuegos | 3, Teléfono celular | 4, Tabla | 5, Videojuego portátil | 6, Computadora/laptop | 7, Otro",NA,1,NA,direct-redcap
yssmpes_i3oth,"YSSM (parent version, Spanish), detail for ""other"" on question 3","Si otro, por favor especifique:",s1_r1_e1,Char,NA,NA,NA,1,NA,direct-redcap
yssmpes_i4,"YSSM (parent version, Spanish), question 4",¿Está siguiendo a su niño/a o es amigo de él/ella en alguna red social (por ejemplo Facebook Instagram Snapchat)?,s1_r1_e1,Logical,"0, 1","1, Sí | 0, No",NA,1,NA,direct-redcap
yssmpes_i5,"YSSM (parent version, Spanish), question 5",¿Sospecha que su niño/a tiene cuentas de redes sociales de las que usted no esté enterado/a?,s1_r1_e1,Logical,"0, 1","1, Sí | 0, No",NA,1,NA,direct-redcap
yssmpes_i6,"YSSM (parent version, Spanish), question 6",Mi niño/a utiliza medios en pantalla a escondidas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i7,"YSSM (parent version, Spanish), question 7",Parece que mi niño/a sólo piensa en los medios en pantalla.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i8,"YSSM (parent version, Spanish), question 8",A mi niño/a se le dificulta dejar de usar los medios en pantalla.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i9,"YSSM (parent version, Spanish), question 9","Cuando mi niño/a ha tenido un mal día, los medios en pantalla parecen ser lo único que le ayuda a sentirse mejor.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i10,"YSSM (parent version, Spanish), question 10",El uso de los medios en pantalla de mi niño/a causa problemas a la familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i11,"YSSM (parent version, Spanish), question 11",La cantidad de tiempo que mi niño/a desea utilizar los medios en pantalla sigue aumentando.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i12,"YSSM (parent version, Spanish), question 12",Lo único que parece motivar a mi niño/a son los medios en pantalla.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i13,"YSSM (parent version, Spanish), question 13",Mi niño/a se frustra cuando no puede usar los medios en pantalla.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
yssmpes_i14,"YSSM (parent version, Spanish), question 14",El uso de los medios en pantalla de mi niño/a interfiere en las actividades familiares.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Nunca | 2, Raramente | 3, A veces | 4, Frecuentemente | 5, Siempre",NA,1,NA,direct-redcap
